"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0I360","2019-07-11 00:00:00","300.000","97.000","1.600","25.500","0.950","974.900","-99.000","2.500","-99.000","-99.000","-99.000","31.500","","24.000",""
"C0C620","2019-07-11 00:00:00","19.000","191.000","2.200","28.400","0.770","1003.600","-99.000","0.000","-99.000","-99.000","-99.000","34.300","","28.100",""
"C0G790","2019-07-11 00:00:00","27.000","0.000","0.100","27.100","0.910","1007.600","-99.000","6.500","-99.000","-99.000","-99.000","33.800","","26.200",""
"C0M850","2019-07-11 00:00:00","695.000","0.000","0.000","22.100","0.990","932.900","-99.000","26.000","-99.000","-99.000","-99.000","28.000","","21.300",""
"C0UA20","2019-07-11 00:00:00","2619.000","201.000","6.500","12.000","1.000","737.900","-99.000","1.500","-99.000","-99.000","-99.000","16.100","","10.700",""
"C0F9V0","2019-07-11 00:00:00","525.000","180.000","1.800","24.500","0.910","951.800","-99.000","7.000","-99.000","-99.000","-99.000","29.800","","24.200",""
"C0T900","2019-07-11 00:00:00","160.000","270.000","0.600","26.000","0.780","988.700","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","23.800",""
"C0K440","2019-07-11 00:00:00","35.000","150.000","1.300","26.200","0.910","1004.600","-99.000","28.000","-99.000","-99.000","-99.000","30.200","","25.600",""
"C0Z250","2019-07-11 00:00:00","1124.000","214.000","0.600","20.800","0.940","888.400","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","19.200",""
"C0F0A0","2019-07-11 00:00:00","3587.000","-99.000","-99.000","8.300","1.000","665.100","-99.000","0.000","-99.000","-99.000","-99.000","12.900","","6.000",""
"C0G860","2019-07-11 00:00:00","45.000","135.000","0.900","27.300","0.840","1001.700","-99.000","18.000","-99.000","-99.000","-99.000","33.000","","25.900",""
"C0V790","2019-07-11 00:00:00","410.000","23.000","2.500","23.700","0.990","964.300","-99.000","81.500","-99.000","-99.000","-99.000","30.300","","23.100",""
"C0V740","2019-07-11 00:00:00","60.000","170.000","1.300","24.700","1.000","1004.600","-99.000","58.500","-99.000","-99.000","-99.000","30.300","","24.500",""
